"Item_Id","Low_Cap_Price"
"IT_265079",1948
"IT_265087",2974
"IT_265107",8049
"IT_265139",7158
"IT_265142",2305
"IT_265144",1223
"IT_265148",2868
"IT_265156",6246
"IT_265162",7851
"IT_265170",5541
"IT_265175",4882
"IT_265181",5695
"IT_265183",5871
"IT_265184",5631
"IT_265196",6752
"IT_265201",8434
"IT_265205",8201
"IT_265244",2979
"IT_265255",7891
"IT_265259",7006
"IT_265264",6403
"IT_265274",3529
"IT_265275",4295
"IT_265294",901
"IT_265315",9908
"IT_265317",2822
"IT_265332",5718
"IT_265338",6075
"IT_265339",5705
"IT_265341",6278
"IT_265349",4949
"IT_265350",6371
"IT_265360",6831
"IT_265379",4034
"IT_265382",7957
"IT_265417",7830
"IT_265448",2292
"IT_265455",2785
"IT_265482",6222
"IT_265490",5466
"IT_265495",6691
"IT_265499",4708
"IT_265500",6578
"IT_265504",7899
"IT_265507",6802
"IT_265533",5080
"IT_265566",8194
"IT_265568",4254
"IT_265575",6673
"IT_265577",2916
"IT_265581",7544
"IT_265611",6717
"IT_265615",3853
"IT_265647",3867
"IT_265697",6252
"IT_265701",2834
"IT_265702",2378
"IT_265703",1228
"IT_265720",8804
"IT_265734",5085
"IT_265736",6327
"IT_265740",5692
"IT_265742",6039
"IT_265747",6405
"IT_265751",6293
"IT_265757",8742
"IT_265792",4618
"IT_265816",4151
"IT_265819",2042
"IT_265866",8833
"IT_265869",6677
"IT_265874",2095
"IT_265880",2055
"IT_265905",4948
"IT_265911",5710
"IT_265922",8031
"IT_265927",7904
"IT_265932",8533
"IT_265935",6374
"IT_265948",3787
"IT_265966",4232
"IT_265976",2793
"IT_265999",6405
"IT_266030",4524
"IT_266056",1534
"IT_266058",2598
"IT_266060",1209
"IT_266069",1854
"IT_266096",6827
"IT_266103",5165
"IT_266111",5791
"IT_266115",6205
"IT_266124",8097
"IT_266128",8652
"IT_266132",6547
"IT_266137",6069
"IT_266141",3111
"IT_266155",11664
"IT_266157",11160
"IT_266166",4533
"IT_266175",2847
"IT_266188",3733
"IT_266255",874
"IT_266258",1839
"IT_266264",2447
"IT_266281",10208
"IT_266298",5320
"IT_266299",6027
"IT_266307",5435
"IT_266318",6030
"IT_266322",7840
"IT_266324",6142
"IT_266334",6334
"IT_266338",2997
"IT_266354",7729
"IT_266366",1656
"IT_266376",2923
"IT_266402",5378
"IT_266413",3951
"IT_266453",843
"IT_266498",5088
"IT_266499",1809
"IT_266506",5818
"IT_266514",5577
"IT_266523",7819
"IT_266532",6387
"IT_266536",6394
"IT_266537",5789
"IT_266541",3055
"IT_266556",10210
"IT_266557",10911
"IT_266571",1734
"IT_266578",2243
"IT_266594",4452
"IT_266650",6652
"IT_266665",1469
"IT_266667",6377
"IT_266671",2997
"IT_266684",7390
"IT_266700",4734
"IT_266703",6223
"IT_266715",7299
"IT_266731",8032
"IT_266741",5583
"IT_266744",5903
"IT_266752",4667
"IT_266786",7905
"IT_266806",5642
"IT_266825",8746
"IT_266833",2217
"IT_266836",1529
"IT_266842",1886
"IT_266855",4059
"IT_266915",8354
"IT_266927",6574
"IT_266950",6107
"IT_266955",10717
"IT_266974",5050
"IT_266977",5836
"IT_266981",5461
"IT_266983",5539
"IT_266988",6016
"IT_266993",4563
"IT_266994",6304
"IT_266996",7875
"IT_266999",5811
"IT_267001",8017
"IT_267003",6070
"IT_267004",5679
"IT_267019",2374
"IT_267026",10935
"IT_267049",2943
"IT_267067",1942
"IT_267121",6927
"IT_267125",1427
"IT_267130",2713
"IT_267169",5651
"IT_267181",6566
"IT_267189",5605
"IT_267194",6722
"IT_267202",3326
"IT_267243",1986
"IT_267326",5717
"IT_267328",5756
"IT_267333",4493
"IT_267401",1915
"IT_267411",4129
"IT_267468",1311
"IT_267471",4057
"IT_267474",4568
"IT_267476",3328
"IT_267495",9484
"IT_267513",5289
"IT_267517",5369
"IT_267519",3540
"IT_267534",6238
"IT_267544",5352
"IT_267555",2502
"IT_267556",3013
"IT_267599",1873
"IT_267604",2548
"IT_267652",4673
"IT_267654",737
"IT_267656",1421
"IT_267662",1812
"IT_267707",5008
"IT_267711",4856
"IT_267713",3392
"IT_267714",5449
"IT_267721",6585
"IT_267735",3828
"IT_267764",10021
"IT_267808",1904
"IT_267819",4149
"IT_267844",3464
"IT_267885",1375
"IT_267929",5027
"IT_267932",5816
"IT_267938",3368
"IT_267939",4963
"IT_267944",6101
"IT_267945",6670
"IT_267951",5690
"IT_267954",7024
"IT_267957",3822
"IT_267970",3178
"IT_268027",7471
"IT_268040",2165
"IT_268075",4876
"IT_268107",1176
"IT_268195",8052
"IT_268249",5296
"IT_268250",5665
"IT_268256",5048
"IT_268259",5388
"IT_268265",6656
"IT_268272",5437
"IT_268275",6818
"IT_268284",5440
"IT_268285",4977
"IT_268300",2930
"IT_268323",1963
"IT_268331",1807
"IT_268364",8069
"IT_268398",4624
"IT_268400",1414
"IT_268406",2353
"IT_268447",4776
"IT_268455",5706
"IT_268463",4751
"IT_268469",6592
"IT_268472",3680
"IT_268475",8568
"IT_268476",5614
"IT_268486",3227
"IT_268497",6400
"IT_268517",1783
"IT_268552",6256
"IT_268591",4005
"IT_268630",2631
"IT_268644",1873
"IT_268651",6504
"IT_268669",5168
"IT_268672",5935
"IT_268678",5241
"IT_268683",5866
"IT_268690",4027
"IT_268695",6849
"IT_268719",5059
"IT_268734",10794
"IT_268756",1823
"IT_268834",923
"IT_268841",2107
"IT_268890",4888
"IT_268893",5538
"IT_268904",5281
"IT_268906",6149
"IT_268909",5814
"IT_268912",5359
"IT_268958",1680
"IT_268994",6578
"IT_269018",2883
"IT_269029",1906
"IT_269056",4990
"IT_269067",4534
"IT_269105",1869
"IT_269172",2102
"IT_269213",3636
"IT_269221",6092
"IT_269236",6364
"IT_269267",1618
"IT_269290",2360
"IT_269308",3986
"IT_269317",1965
"IT_269327",2676
"IT_269384",2091
"IT_269420",1911
"IT_269451",4063
"IT_269468",1285
"IT_269520",5158
"IT_269525",4570
"IT_269528",4801
"IT_269532",5728
"IT_269540",5097
"IT_269546",5462
"IT_269559",3065
"IT_269606",1700
"IT_269639",8704
"IT_269689",2979
"IT_269705",2283
"IT_269742",4147
"IT_269748",4344
"IT_269759",5756
"IT_269769",4679
"IT_269784",1814
"IT_269785",1819
"IT_269813",1820
"IT_269834",2271
"IT_269899",1594
"IT_269900",1559
"IT_269903",4200
"IT_269907",2068
"IT_269923",2254
"IT_269943",3648
"IT_269964",4131
"IT_269969",5995
"IT_269971",4041
"IT_269976",5140
"IT_269984",5525
"IT_269996",3329
"IT_270011",5987
"IT_270025",1694
"IT_270029",2374
"IT_270036",1647
"IT_270057",2441
"IT_270086",1506
"IT_270129",5545
"IT_270157",1996
"IT_270254",6339
"IT_270264",3822
"IT_270268",1807
"IT_270282",2101
"IT_270297",2179
"IT_270330",5485
"IT_270332",4199
"IT_270341",3227
"IT_270342",5655
"IT_270394",1880
"IT_270427",2279
"IT_270428",4992
"IT_270485",2096
"IT_270500",1837
"IT_270537",3758
"IT_270543",5481
"IT_270545",4291
"IT_270549",4833
"IT_270556",3560
"IT_270566",4193
"IT_270628",7393
"IT_270642",1999
"IT_270674",5156
"IT_270675",3906
"IT_270682",5029
"IT_270716",2030
"IT_270747",2426
"IT_270839",2408
"IT_270873",3921
"IT_270887",4004
"IT_270898",5468
"IT_270943",1646
"IT_270951",1773
"IT_270974",5117
"IT_270980",4647
"IT_271071",1835
"IT_271121",4896
"IT_271158",3987
"IT_271172",1840
"IT_271207",2414
"IT_271254",7430
"IT_271308",3834
"IT_271313",5463
"IT_271349",4300
"IT_271365",1743
"IT_271437",6384
"IT_271463",2497
"IT_271517",3998
"IT_271533",3638
"IT_271538",4899
"IT_271541",4727
"IT_271604",1801
"IT_271625",4186
"IT_271664",3124
"IT_271713",2165
"IT_271758",3657
"IT_271778",5582
"IT_271801",1405
"IT_271810",2029
"IT_271832",1684
"IT_271841",1592
"IT_271903",5028
"IT_271927",8060
"IT_271990",3834
"IT_271996",4635
"IT_272007",5103
"IT_272010",3346
"IT_272026",3046
"IT_272121",4382
"IT_272146",1635
"IT_272152",1576
"IT_272264",1966
